CYP2B6 Diplotype,Activity Score,Coded Diplotype/Phenotype Summary,EHR Priority Notation
*1/*1,n/a,CYP2B6 Normal Metabolizer,Normal/Routine/Low Risk
*1/*2,n/a,CYP2B6 Normal Metabolizer,Normal/Routine/Low Risk
*1/*3,n/a,CYP2B6 Indeterminate,none
*1/*4,n/a,CYP2B6 Rapid Metabolizer,Normal/Routine/Low Risk
*1/*5,n/a,CYP2B6 Normal Metabolizer,Normal/Routine/Low Risk
*1/*6,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*7,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*8,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*9,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*10,n/a,CYP2B6 Indeterminate,none
*1/*11,n/a,CYP2B6 Indeterminate,none
*1/*12,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*13,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*14,n/a,CYP2B6 Indeterminate,none
*1/*15,n/a,CYP2B6 Indeterminate,none
*1/*17,n/a,CYP2B6 Normal Metabolizer,Normal/Routine/Low Risk
*1/*18,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*19,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*20,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*21,n/a,CYP2B6 Indeterminate,none
*1/*22,n/a,CYP2B6 Indeterminate,none
*1/*23,n/a,CYP2B6 Indeterminate,none
*1/*24,n/a,CYP2B6 Indeterminate,none
*1/*25,n/a,CYP2B6 Indeterminate,none
*1/*26,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*27,n/a,CYP2B6 Indeterminate,none
*1/*28,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*29,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*30,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*31,n/a,CYP2B6 Normal Metabolizer,Normal/Routine/Low Risk
*1/*32,n/a,CYP2B6 Normal Metabolizer,Normal/Routine/Low Risk
*1/*33,n/a,CYP2B6 Indeterminate,none
*1/*34,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*35,n/a,CYP2B6 Indeterminate,none
*1/*36,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*37,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*38,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*39,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*40,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*41,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*42,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*43,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*44,n/a,CYP2B6 Indeterminate,none
*1/*45,n/a,CYP2B6 Indeterminate,none
*1/*46,n/a,CYP2B6 Indeterminate,none
*1/*47,n/a,CYP2B6 Indeterminate,none
*1/*48,n/a,CYP2B6 Indeterminate,none
*1/*49,n/a,CYP2B6 Indeterminate,none
*2/*2,n/a,CYP2B6 Normal Metabolizer,Normal/Routine/Low Risk
*2/*3,n/a,CYP2B6 Indeterminate,none
*2/*4,n/a,CYP2B6 Rapid Metabolizer,Normal/Routine/Low Risk
*2/*5,n/a,CYP2B6 Normal Metabolizer,Normal/Routine/Low Risk
*2/*6,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*7,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*8,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*9,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*10,n/a,CYP2B6 Indeterminate,none
*2/*11,n/a,CYP2B6 Indeterminate,none
*2/*12,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*13,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*14,n/a,CYP2B6 Indeterminate,none
*2/*15,n/a,CYP2B6 Indeterminate,none
*2/*17,n/a,CYP2B6 Normal Metabolizer,Normal/Routine/Low Risk
*2/*18,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*19,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*20,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*21,n/a,CYP2B6 Indeterminate,none
*2/*22,n/a,CYP2B6 Indeterminate,none
*2/*23,n/a,CYP2B6 Indeterminate,none
*2/*24,n/a,CYP2B6 Indeterminate,none
*2/*25,n/a,CYP2B6 Indeterminate,none
*2/*26,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*27,n/a,CYP2B6 Indeterminate,none
*2/*28,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*29,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*30,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
