CYP2C9 Diplotype,Activity Score,Coded Diplotype/Phenotype Summary,EHR Priority Notation
*1/*1,2.0,CYP2C9 Normal Metabolizer,Normal/Routine/Low Risk
*1/*2,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*3,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*4,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*5,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*6,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*7,n/a,CYP2C9 Indeterminate,none
*1/*8,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*9,2.0,CYP2C9 Normal Metabolizer,Normal/Routine/Low Risk
*1/*10,n/a,CYP2C9 Indeterminate,none
*1/*11,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*12,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*13,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*14,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*15,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*16,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*17,n/a,CYP2C9 Indeterminate,none
*1/*18,n/a,CYP2C9 Indeterminate,none
*1/*19,n/a,CYP2C9 Indeterminate,none
*1/*20,n/a,CYP2C9 Indeterminate,none
*1/*21,n/a,CYP2C9 Indeterminate,none
*1/*22,n/a,CYP2C9 Indeterminate,none
*1/*23,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*24,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*25,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*26,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*27,n/a,CYP2C9 Indeterminate,none
*1/*28,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*29,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*30,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*31,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*32,n/a,CYP2C9 Indeterminate,none
*1/*33,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*34,n/a,CYP2C9 Indeterminate,none
*1/*35,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*36,n/a,CYP2C9 Indeterminate,none
*1/*37,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*38,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*39,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*40,n/a,CYP2C9 Indeterminate,none
*1/*41,n/a,CYP2C9 Indeterminate,none
*1/*42,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*43,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*44,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*45,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*46,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*47,n/a,CYP2C9 Indeterminate,none
*1/*48,n/a,CYP2C9 Indeterminate,none
*1/*49,n/a,CYP2C9 Indeterminate,none
*1/*50,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*51,n/a,CYP2C9 Indeterminate,none
*1/*52,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*53,n/a,CYP2C9 Indeterminate,none
*1/*54,n/a,CYP2C9 Indeterminate,none
*1/*55,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*56,n/a,CYP2C9 Indeterminate,none
*1/*57,n/a,CYP2C9 Indeterminate,none
*1/*58,n/a,CYP2C9 Indeterminate,none
*1/*59,n/a,CYP2C9 Indeterminate,none
*1/*60,n/a,CYP2C9 Indeterminate,none
*1/*61,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*62,n/a,CYP2C9 Indeterminate,none
*1/*63,n/a,CYP2C9 Indeterminate,none
*1/*64,n/a,CYP2C9 Indeterminate,none
*1/*65,n/a,CYP2C9 Indeterminate,none
*1/*66,n/a,CYP2C9 Indeterminate,none
*1/*67,n/a,CYP2C9 Indeterminate,none
*1/*68,n/a,CYP2C9 Indeterminate,none
*1/*69,n/a,CYP2C9 Indeterminate,none
*1/*70,n/a,CYP2C9 Indeterminate,none
*1/*71,n/a,CYP2C9 Indeterminate,none
*1/*72,n/a,CYP2C9 Indeterminate,none
*1/*73,n/a,CYP2C9 Indeterminate,none
*1/*74,n/a,CYP2C9 Indeterminate,none
*1/*75,n/a,CYP2C9 Indeterminate,none
*2/*2,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*3,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*2/*4,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*5,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*6,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*2/*7,n/a,CYP2C9 Indeterminate,none
*2/*8,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*9,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*10,n/a,CYP2C9 Indeterminate,none
*2/*11,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*12,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*13,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*2/*14,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*15,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*2/*16,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*17,n/a,CYP2C9 Indeterminate,none
*2/*18,n/a,CYP2C9 Indeterminate,none
*2/*19,n/a,CYP2C9 Indeterminate,none
*2/*20,n/a,CYP2C9 Indeterminate,none
*2/*21,n/a,CYP2C9 Indeterminate,none
*2/*22,n/a,CYP2C9 Indeterminate,none
