Gene,Diplotype,Phenotype_CPIC_Format,Phenotype_Simplified,Phenotype_Category,Activity_Score,EHR_Priority
CYP2B6,*1/*1,CYP2B6 Normal Metabolizer,Normal Metabolizer,Normal,,Normal/Routine/Low Risk
CYP2B6,*1/*10,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*1/*11,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*1/*12,CYP2B6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,,Abnormal/Priority/High Risk
CYP2B6,*1/*13,CYP2B6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,,Abnormal/Priority/High Risk
CYP2B6,*1/*14,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*1/*15,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*1/*17,CYP2B6 Normal Metabolizer,Normal Metabolizer,Normal,,Normal/Routine/Low Risk
CYP2B6,*1/*18,CYP2B6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,,Abnormal/Priority/High Risk
CYP2B6,*1/*19,CYP2B6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,,Abnormal/Priority/High Risk
CYP2B6,*1/*2,CYP2B6 Normal Metabolizer,Normal Metabolizer,Normal,,Normal/Routine/Low Risk
CYP2B6,*1/*20,CYP2B6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,,Abnormal/Priority/High Risk
CYP2B6,*1/*21,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*1/*22,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*1/*23,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*1/*24,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*1/*25,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*1/*26,CYP2B6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,,Abnormal/Priority/High Risk
CYP2B6,*1/*27,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*1/*28,CYP2B6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,,Abnormal/Priority/High Risk
CYP2B6,*1/*29,CYP2B6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,,Abnormal/Priority/High Risk
CYP2B6,*1/*3,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*1/*30,CYP2B6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,,Abnormal/Priority/High Risk
CYP2B6,*1/*31,CYP2B6 Normal Metabolizer,Normal Metabolizer,Normal,,Normal/Routine/Low Risk
CYP2B6,*1/*32,CYP2B6 Normal Metabolizer,Normal Metabolizer,Normal,,Normal/Routine/Low Risk
CYP2B6,*1/*33,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*1/*34,CYP2B6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,,Abnormal/Priority/High Risk
CYP2B6,*1/*35,CYP2B6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2B6,*1/*36,CYP2B6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,,Abnormal/Priority/High Risk
CYP2B6,*1/*37,CYP2B6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,,Abnormal/Priority/High Risk
CYP2B6,*1/*38,CYP2B6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,,Abnormal/Priority/High Risk
CYP2B6,*1/*39,CYP2B6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,,Abnormal/Priority/High Risk
CYP2B6,*1/*4,CYP2B6 Rapid Metabolizer,Rapid Metabolizer,Rapid,,Normal/Routine/Low Risk
